0, 0.15
1, 0.31
2, 0.28
3, 1.28
4, 0.96
5, 0.84
6, 0.76
7, 0.71
8, 0.66
9, 0.57
10, 0.58
11, 1.66
12, 1.41
13, 1.21
14, 1.11
15, 1.07
16, 1.05
17, 1.02
18, 1.06
19, 2.03
20, 1.76
21, 1.7
22, 1.6
23, 1.53
24, 1.39
25, 1.39
26, 1.32
27, 1.26
28, 1.24
29, 1.32
30, 1.22
31, 1.22
32, 1.2
33, 1.19
34, 1.2
35, 1.2
36, 1.16
37, 2.2
38, 1.95
39, 1.9
40, 1.75
41, 1.64
42, 1.54
43, 1.47
44, 1.46
45, 1.42
46, 1.39
47, 1.45
48, 1.44
49, 1.42
50, 1.39
51, 1.39
52, 1.38
53, 1.39
54, 1.4
55, 2.44
56, 2.15
57, 2.07
58, 2.04
59, 2.03
60, 2.01
61, 1.99
62, 1.98
63, 1.98
64, 1.96
65, 1.94
66, 1.92
67, 1.92
68, 1.89
69, 1.9
70, 1.87
71, 1.87
72, 1.75
73, 1.7
74, 1.62
75, 1.51
76, 1.44
77, 1.41
78, 1.36
79, 1.36
80, 1.32
81, 1.45
82, 1.46
83, 1.48
84, 1.4
85, 1.5
86, 1.5
87, 2.6
88, 2.21
89, 2.15
90, 2.06
91, 2.0
92, 1.96
93, 1.9
94, 1.87
95, 1.8
96, 1.69
